save%2:40:02::	save%2:41:02::
sting%1:26:01::	sting%1:04:01::
entrenched%5:00:00:invulnerable:00	entrenched%5:00:00:established:00
forge%2:36:00::	forge%2:38:01::
hit%1:04:00::	hit%1:04:02::
vault%1:06:02::	vault%1:04:00::
deep%3:00:01::	deep%5:00:00:profound:00
pin_on%2:32:00::	pin%2:35:01::
lick%2:31:00::	lick%2:34:00::
admit%2:32:00::	admit%2:41:01::
toast%2:30:00::	toast%2:34:00::
plant%1:06:01::	plant%1:03:00::
square%1:25:00::	square%1:18:01::
grave%5:00:00:critical:03	grave%1:06:00::
outlet%1:06:02::	outlet%1:04:00::
draw%2:38:01::	draw%2:36:00::
snort%2:29:00::	snort%2:34:02::
burning%5:00:00:important:00	burn%2:43:02::;burn%2:43:01::;burn%2:30:03::;burn%2:30:02::;burn%2:30:01::;burn%2:30:00::;burn%2:39:04::
spell%2:36:00::	spell%2:32:01::
bounce%2:38:00::	bounce_back%2:30:00::
shot%1:06:00::	shot%1:26:00::
gush%2:38:00::;gush%2:35:00::	gush%2:32:00::
raft%1:06:00::	raft%1:23:00::
coach%2:32:00::	coach%2:38:00::
break_down%2:30:00::;break_down%2:29:00::	break_down%2:31:00::
level%1:06:01::	level%1:09:00::
case%1:06:00::	case%1:10:01::
range%1:15:02::	range%1:06:01::
part%1:10:00::	part%1:06:01::
focus%1:09:00::	focus%1:07:01::
groundbreaking%5:00:00:original:00	groundbreaking%1:04:00::
cover%1:06:01::	cover%1:04:02::
taste%1:09:02::	taste%1:11:00::
fret%2:37:03::	fret%1:06:00::;fret%2:40:00::
still%1:06:00::	still%1:07:00::
patent%1:10:01::	patent%5:00:00:obvious:00
see%2:39:00::	see_through%2:30:00::
foot%1:08:01::	foot%2:40:00::
irrational%3:01:00::	irrational%3:00:00::
landing%1:06:01::	landing%1:04:01::
premise%1:10:00::	premises%1:15:00::
bar%1:06:05::;bar%1:06:04::	bar%1:14:00::
snap%2:35:01::	snap%2:32:00::
sprinkle%1:19:00::	sprinkles%1:13:00::
